id,CreationTime,ExcerciseID,Excercise,Excercise_Completion
4b119364-d5bc-4696-aad1-de1a12083979,12/9/2019,169809535-X,TCO reduction,5/28/2020
4fb795f0-98b3-46c8-ae90-604ddc7b1975,2/19/2018,180201222-2,LLDP,8/9/2018
a92d818c-f782-4481-8d9f-26ffb72e540a,11/6/2020,225783595-6,Akamai,6/25/2018
aac8414a-0fde-431c-8dcd-f011dbd66c69,9/22/2019,679062667-0,Pilates,1/10/2020
237bf774-f628-4fcc-9b9c-dba06ef1fa22,11/28/2017,783355239-9,Particle Effects,10/3/2019
cacade83-2475-47ad-9867-8f0902b9ab92,9/4/2018,687841754-6,Ninja Skills,7/30/2020
b1072faf-99fb-4257-954e-2c9b20b0bf82,7/8/2018,548777520-6,EHS,2/12/2018
57e2beb0-2ff1-4992-af16-a71db3ea731c,12/20/2019,348229945-5,Sustainable Development,10/12/2020
6c9caace-d0f2-4488-bd7f-e74cd500beaf,8/27/2019,256693196-8,Store Management,11/4/2018
532ede30-e9bb-40a8-b9e5-ba1807514a8d,4/2/2019,843832637-4,Healthcare Information Technology,9/8/2018
4d38e8fd-f378-468a-b9f2-3b2ba572c17c,1/18/2019,149831714-6,ASME,3/12/2019
2075f099-ed66-4d88-9ac0-65420ade9bba,4/1/2020,153435761-0,CICS,8/26/2020
cbb2f094-0135-4b38-97ad-5a37957f2132,2/6/2020,949417880-7,Xeriscaping,9/11/2018
abaa288a-8e0e-415c-8874-557f519ae41d,10/10/2019,652188540-5,Android,9/14/2018
7d78660a-ee6f-4039-bd57-dbfcdeb949fd,8/20/2019,619427040-3,Xenix,10/8/2020
d9637746-551b-4fec-86fc-8aaea7e26f15,3/7/2020,320188908-3,User Experience Design,8/29/2020
fd272f7d-a091-4915-8500-bde47e9ccf7d,8/19/2020,703376729-3,Xactly Incent,9/25/2020
bc4d411f-7dd3-4f93-bab1-6b8c5c0e2265,2/12/2020,670829343-9,Xcalibur,11/15/2019
86b203c8-96ae-4f72-9afa-83df1bf841d0,5/2/2020,576329039-9,Knowledge Engineering,6/13/2020
67ce81d7-1dc1-4010-9f5e-fe75173c5e96,10/9/2020,631614193-9,Investment Banking,12/31/2017
cf03fd9f-7666-403e-95fa-4a9c0f9e2723,10/25/2019,961215052-4,DCID 6/3,4/18/2019
a9d59cd5-04e6-44f1-8ff1-1af70d326c64,8/19/2018,069324210-8,Literature,12/8/2018
b71218cd-c50d-44a9-8aad-47a25d90d359,11/10/2017,002332907-6,iPhone Support,12/1/2019
3bb674ce-e54d-43a5-a999-dda1a7662962,10/4/2018,007868211-8,User-centered Design,7/3/2019
1bb61d92-311c-475f-a1d6-fa79bb262aef,10/17/2019,754402758-9,Logic Pro,2/14/2019
2492f49e-295b-48a8-af6a-5ae1ca73eb98,7/12/2019,568383021-4,Whiplash,9/28/2018
76c90a94-86a7-49d9-88da-c67ddb87697a,9/14/2019,212067839-1,Western Blotting,2/16/2018
3fb64750-2bc4-4f8c-982c-9b0fa5ec163f,10/15/2020,382755115-3,GPS,9/5/2020
2bf23ff8-9762-4b6d-9bc4-1cda6c38a5c3,9/14/2019,458743141-9,Jing,6/5/2018
dc51079f-7a38-40da-90bc-6eaa89b28ed2,5/19/2018,308928251-8,Pulse Oximetry,5/1/2020
ad57e86f-14cd-42b1-8d75-384c4cb22a9b,4/29/2020,207746787-8,RSA Security,2/27/2020
a696e5b4-d001-4474-90b1-fb404efcd0ea,3/6/2019,018915698-8,Early Childhood Development,2/26/2018
19b91aee-5848-45f8-aa13-6ca3f9b46a27,8/18/2019,962618207-5,GNU Octave,10/26/2020
517d9e3b-b366-4175-ad3f-1926f9b34f83,7/13/2020,069091486-5,Financial Modeling,1/24/2018
e8674cc4-84a7-477b-91e9-646a9060c00e,1/13/2018,599982407-9,Natural Language Processing,11/21/2019
af3df638-11c0-4c22-b9f7-75c7dac87848,7/10/2018,487984598-1,Nutritional Counseling,11/26/2018
1b799ddc-9d4d-4a89-b73f-7f1e78f60029,10/7/2018,654187118-3,Emergency Medicine,8/5/2019
72b6ca20-ab7f-4074-a495-d347d1f3a271,5/24/2020,228468868-3,SMTP,12/19/2017
8d80880f-4e30-4f77-88c7-734f8401d810,3/3/2018,946367500-0,Xinet,8/23/2020
7ea42ba5-bfaa-41b1-8e11-bbed202c972b,5/16/2019,774455200-8,MSC Adams,4/20/2020
fcd9cd23-32d4-4b57-a9c8-eb06d4b48065,1/9/2020,519201510-3,Private Piloting,6/21/2018
ea3630b8-278e-478d-8397-7a3e0acddec3,9/14/2020,793562361-9,Psychological Assessment,9/12/2020
5d9c541b-c5e0-4adc-897e-a7e5dda2d11a,7/17/2018,812544777-6,Manual Therapy,12/29/2018
14274ef0-370e-4198-9f03-7fbe148e4009,7/31/2019,395223860-0,Yardi Enterprise,8/4/2019
0056b6d4-adce-4081-98d7-fd849896776f,6/11/2018,452322607-5,VMware vCenter,12/17/2018
296d5089-5d04-4c87-bf58-d87410304802,6/17/2019,933209232-X,Ecology,7/9/2018
dc989eee-f74c-4822-826e-4f33af7fe6f9,8/22/2019,498437068-8,Tcpdump,8/15/2020
5d1a8ccb-dae7-4e39-8aab-1c3bb2a34cd2,7/5/2019,913850581-9,DFR,3/15/2020
63813175-e9fd-4476-91bd-c84b83b4a5b4,11/22/2017,526422214-2,nCode,11/7/2018
6eaa7c9c-18b5-4393-a8b5-b6c4d144a891,1/9/2020,960002509-6,Branch Banking,5/13/2020
30f03bb9-b507-4094-b2e5-93cae9fd581c,8/1/2019,429504212-9,Economic Development,2/9/2020
34b25194-2ddc-41ac-b7cf-dac0253d6019,6/9/2020,060671096-5,Pitching Ideas,8/14/2018
aed3a7c9-81ee-47d2-a6db-247229551139,7/23/2018,845669427-4,Sourcing,9/25/2020
6cb3f725-fd78-495e-bdd3-19ef24c0d4ff,2/3/2018,205554171-4,Amazon EBS,11/3/2020
8b00a25c-62cb-480b-8164-a0ac40dad3a8,6/19/2020,662604463-X,CWTS,2/17/2018
f67d5f90-ccdf-4949-95ca-669bc067e5d7,12/28/2017,472045768-1,XDoclet,8/20/2020
9352739e-869b-4966-85eb-861c1c86f845,7/2/2018,165859312-X,HD Video,12/6/2017
7a735d0a-9399-4a4b-8a96-a503a447dcda,9/17/2018,563357303-X,Civil Aviation,9/4/2020
02a12ef8-77a9-4fcd-8f3d-20e095527f5a,7/6/2019,061013006-4,Front Office,6/29/2018
62550014-1aa1-4b9d-a6bc-73f59de3b9b9,3/22/2018,563860112-0,PPBES,9/12/2018
80455d02-2882-43a4-9b77-70c347fe34a4,7/19/2020,422095476-7,D3.js,10/17/2020
da437e07-8f09-4c31-98ee-71bce73c96ad,10/28/2019,193933673-2,Project Bidding,3/17/2020
95dde912-3010-481f-9c76-70b249223baa,5/14/2018,133201088-1,Yacht Clubs,1/24/2020
1a169aa4-66e7-40fb-9572-e6f3c7e542e1,11/8/2019,605800161-7,Ethernet over SDH,10/4/2019
7ac665dd-1402-4e57-b5cc-74f5b79f242a,8/12/2020,942015218-9,LCM,4/19/2019
540bf907-47c9-4051-bff3-91cdde27bb8a,9/21/2019,447926997-5,HVAC,7/22/2020
715135ee-bd92-4418-9200-108a718ada13,9/28/2018,880514445-2,BBEdit,1/31/2019
cdbe7b1c-e211-4b73-86a8-14a5e016cf9d,7/4/2020,220612776-8,HP Quality Center,12/9/2018
b1455d2c-e294-4099-af6e-b3046a55344f,3/27/2019,745665771-8,DDoS,2/22/2020
0e9ff4d5-8ac8-4e88-932b-1b234ca2ef72,8/14/2020,157921165-8,SQL Loader,10/4/2018
0d49af9d-28fd-43ab-b82a-ba9e0663eb48,9/23/2018,710336661-6,Interest Rate Swaps,5/26/2019
fc81355d-e0a4-40db-b3fc-ddcf1ff48f7e,8/2/2018,744895261-7,Spreadsheets,1/31/2018
0e9a1fb1-8075-4608-b96c-59e9b884d4d0,2/26/2018,457098643-9,French,2/9/2019
5f18f103-595b-4ff5-81dc-dc3cda180e76,2/21/2018,406069458-4,Renewable Energy,10/1/2019
c320c5a9-5f6e-4ff0-a05f-82b8974a63c8,9/30/2019,490038281-7,WCSF,6/3/2019
8a2ebdd3-cc2b-426b-b3e7-015e2dce8a56,4/22/2018,438619495-9,Nanoparticles,6/19/2018
b3322721-19a9-446a-8582-02c75be079eb,12/10/2017,936434088-4,Zenworks,1/26/2018
b0d507e0-3206-424e-a375-be1ac022ae4d,8/5/2019,862062507-1,Hotel Booking,2/25/2019
2ac5e17c-3003-4a34-9359-ae0b3e9a1dec,7/4/2020,204000230-8,Equipment Maintenance,3/5/2020
6e24b94c-25e1-41de-91ff-a5432be5e717,9/26/2018,698650916-2,MySQL Cluster,1/2/2019
7fdce5ef-7a72-4c67-94d7-e55237d27a88,11/20/2019,550667458-9,Federal Law Enforcement,11/17/2019
859191c0-58ad-4301-b0ae-503b60fad918,10/28/2019,621427650-9,Zsh,6/25/2020
7ec011ee-5d7f-4bf9-9ac2-57d1f6d74a0a,6/12/2018,477075295-4,Life Cycle Assessment,12/21/2019
401ac403-bbc0-41b7-bcbd-a8f42b8a2fbc,5/20/2019,700500072-2,Middle Office,12/18/2017
2710a6ac-6cb8-4671-b8af-1cb3ef0f01e0,10/15/2019,515405363-X,Executive Protection,12/4/2019
8959d890-4eb7-4624-810d-b6252917f7dc,7/29/2020,244316557-4,Kompozer,3/2/2018
dc046a55-8e21-4840-ad64-8ad010b9a9f8,6/8/2020,799721796-7,OGSYS,3/29/2018
84e2c825-0c76-4be7-8b21-5d68772ff261,7/17/2020,493257563-7,Gifts,6/9/2018
776327b9-a2c8-4824-84b8-44ea5e190169,12/24/2018,853948983-X,Object Oriented Perl,1/18/2019
a0a03a18-61d1-4e76-a258-6a7efb1adbde,4/14/2019,794613929-2,Lightroom,5/24/2020
b722c5bd-2992-481b-835b-81423b22c010,6/22/2018,571879029-9,Kaspersky Antivirus,12/29/2017
ab7c7fc2-45fe-4b3f-8db6-5377d8c9df3b,5/15/2019,730219013-5,Mentoring,4/7/2018
18c344d0-d1b5-4dcd-9e61-9b74f18cb451,6/3/2020,122758878-X,Nielsen Data,5/8/2020
1b8589fd-4549-47b6-96b8-f7bb51d9d755,10/14/2020,382208482-4,RSL,5/13/2020
975bb26e-cbcb-43f8-a074-adefbc179d9a,1/28/2018,251994467-6,Telecom BSS,10/7/2019
b67135d6-67e9-47e6-9fcc-b46f8d8f147a,11/28/2018,338070601-9,Youth Outreach,7/1/2019
1f5549db-40a5-464b-a360-e005cecd3a7e,5/9/2019,118927461-2,Press Kits,12/21/2017
49250563-3790-4bf6-89c6-fbb0b51d80c9,5/20/2019,505999342-6,Japanese Business Culture,1/11/2019
b3d8e4a1-8073-4f45-9f19-de0335accb9c,12/20/2019,347119179-8,Cisco IOS,9/30/2019
b4aa2ce6-d067-4f73-87e9-83a7e97bd68f,12/10/2017,218187526-X,Kurdish,11/30/2017
f9c0c61c-923f-4e76-8b8d-aa60ddd21d74,5/22/2020,502864124-2,DLX,6/7/2020
17aeddf2-aad4-4126-b405-a66e8a39ba12,10/23/2020,519329608-4,Characterization,4/16/2020
9d68625e-f5bd-481c-9082-7a55b4e13917,1/13/2020,530679901-9,SGML,8/21/2019
0b18c7e6-7f0b-498d-bb8b-c9590465865b,4/11/2018,821035112-5,OOH,8/17/2019
c04a8602-b99c-48e6-9edc-84e505d62328,2/7/2020,068123737-6,MPEG,12/1/2019
e25bdfd9-87a7-4ade-bf00-d9148c960f3e,3/24/2018,965457693-7,ICU,6/11/2018
476c04d3-cdbf-429f-86ce-6854fa563025,10/30/2018,255887177-3,BPL,1/6/2019
cbf008c2-69b6-4fe3-85f1-304bdd0865fa,7/24/2020,435398497-7,Time-efficient,12/26/2017
4cd324a1-20b4-4c0e-8339-be3f5583c175,11/1/2020,801407415-7,Earth Science,1/10/2020
df7f4510-cace-405e-8ab1-cd29edeb1187,9/29/2020,754190538-0,Kosher,12/10/2018
8f4527cb-8997-492b-93fc-fea3daa7f03b,12/28/2017,089783885-8,Event Planning,5/24/2018
6036ac41-00ba-4e42-995b-f970293b1d77,7/7/2020,915560278-9,CCU,12/7/2017
e5152b7f-7963-4f78-b5fd-e8cbd72a9b8a,9/17/2018,070232547-3,Food &amp; Beverage,3/2/2018
995c6a0f-cb2c-48e7-815c-1c67a380fe31,6/4/2019,880338938-5,MicroStation,7/30/2020
d6cf7624-ef3f-45eb-8320-ff0e671bdcd5,1/12/2020,020488375-X,Karl Fisher,8/15/2020
edad1e2c-9939-46ee-9128-14182fd97039,9/16/2019,027533175-X,Welding,11/20/2019
74747ecc-ec48-4b52-9526-8dd4049e263b,6/20/2020,506609939-5,Xactly Incent,5/18/2019
ad8e9dbe-dfa9-43db-880a-4dec555e9427,10/24/2018,499731674-1,Digital Illustration,6/29/2019
36494f57-1728-4f93-b121-9190983ac8eb,12/12/2017,724792061-0,PPAPs,12/14/2018
7e6a37ef-164f-4660-83ea-f5dda5fb755f,6/24/2020,253116218-6,PWE3,9/4/2019
05f018ac-619c-457b-8683-288f22256944,2/10/2018,646794336-8,Affiliate Management,3/22/2019
beba5971-361b-4ef1-88ea-7da77976933b,1/24/2020,067791909-3,XPlanner,5/2/2020
387cea29-dc15-487b-9e9c-2e6757b43280,3/20/2020,444754113-0,Rhythm Guitar,11/27/2017
25846e66-6491-4ea9-a6de-89c350a63e0f,7/1/2018,813299814-6,Rational DOORS,3/3/2018
b20167c5-5725-4cbb-abd6-beb5f4ac876e,6/22/2018,664999658-0,RSL,4/9/2018
b54772fb-cfab-4e39-802b-ce8ebe722e97,10/26/2019,866332012-4,Lubrication,5/15/2018
39912893-6a3a-415f-860e-6dd332119609,6/5/2019,233042854-5,LCD,5/2/2020
86f225b7-dd2e-4e80-b499-62ca83c18b1b,3/20/2020,730861777-7,Political Economy,6/25/2020
91ef27e6-6af4-473a-9a18-f957105f0ecb,7/25/2020,959487166-0,IPTV,9/3/2020
4c537d0c-4925-4b3d-9801-54f67c42b3f9,5/9/2018,634122503-2,Layout,10/25/2019
2635d34f-8596-4824-ad86-aca705add78e,9/26/2019,564330607-7,Brokers,12/1/2017
4be395ee-f247-4cc7-8434-886aa9377ca1,3/12/2020,778662597-6,Non-profit Program Development,6/1/2020
64aee563-f1fe-415b-b2a9-37353dfa08c3,2/24/2019,910345325-1,CSM,8/21/2018
902ab131-7679-4a71-a307-6fdd5a04bc4f,6/22/2020,679046703-3,PWS,11/1/2020
f64a1586-8f82-4621-a1a0-7dc87392bc63,6/5/2020,142245891-1,GFAAS,8/27/2020
9505321e-1a16-481a-b073-bd8882f7dfd4,4/16/2019,007163079-1,Virtualization,8/12/2019
d15cba31-e281-4062-8f8f-d203956a7a2b,5/12/2018,849110075-X,21 CFR Part 11,10/28/2019
04bb9cdb-64ab-40f0-8f07-b493bd4c3794,11/14/2019,679484331-5,Posters,1/6/2019
451e1952-9185-49c5-8d24-b1661453aa6c,9/27/2020,712433835-2,GDI+,8/4/2019
fc1c493d-2346-40b1-85df-bfba4434f687,4/1/2018,896136798-6,Btrieve,10/2/2018
dbd76b83-6c67-4373-b7a8-49e1e6903930,10/30/2020,402188444-0,WMI,8/5/2018
cc77bb9d-dfd3-48f9-8ad1-c52737b7c41a,10/17/2018,139438626-5,Ministry Of Defence,11/30/2019
e1dec461-2cb3-44a4-9568-0e14b49ef867,10/14/2020,893100489-3,SFTP,7/3/2019
b4aba52c-fad6-42fc-9098-04ca27df0b84,2/14/2020,062758700-3,DS3,1/27/2019
c6523b48-b8d1-4e82-8782-396387bd7e3a,12/8/2017,235745687-6,Final Cut Pro,3/24/2019
648a5b5b-ca15-461b-834e-943979abdfe6,8/25/2018,800711941-8,Lyophilization,11/24/2017
1225b596-9c1f-4072-8b83-832bdad5b436,7/17/2018,043670678-4,CGI scripts,7/26/2018
360cd2bc-ee41-4bf7-87ba-b0a2c963c9cf,4/6/2019,586619180-6,NNTP,10/13/2020
00b047c5-6bee-4d7d-94fd-3d66da386082,5/9/2018,468468199-8,Community Development,1/26/2018
3d2a4505-2de6-406b-b7d2-32bc5d34fe73,10/14/2020,410580368-9,EEO Investigations,9/25/2018
5b90dd26-6f39-4321-ad71-1c6df7122e6d,12/8/2018,334899752-6,Packaging,5/19/2018
e8b057b8-7354-42d3-b5b3-558b6530b0c0,5/10/2018,629720771-2,UEFI,7/13/2019
67651252-8d45-4f7f-a1d0-c0bb516b3389,8/1/2019,841613817-6,MHE,12/12/2017
585bb144-2d5c-4d4c-a9a1-dcd90d7ffdd5,9/27/2019,897670020-1,DTDs,11/13/2017
f67b533b-f7fc-44d5-91ab-1988b53625b5,11/29/2018,017476685-8,Nokia Qt,3/5/2018
c307a593-5bb1-4ec9-ba2a-3ee9e00c3965,12/18/2017,194936027-X,JVC,1/29/2020
20d6b643-4120-42b6-bb90-d67db3184414,7/6/2018,399537791-2,JPOS,2/7/2020
414ab78e-890c-421e-a087-ec8bd564f030,5/10/2020,398805181-0,Branding &amp; Identity,10/1/2020
a07a9b9e-ff5c-49aa-b92e-576b8351f4b8,12/29/2017,538168957-8,AHU,11/22/2019
c123a367-dc45-4c6b-8afb-9aca484224b6,3/25/2020,916824058-9,TMJ Dysfunction,12/16/2018
31d5365f-0ef5-4f3f-81af-328511d7d7b8,6/6/2019,038923273-4,Team Effectiveness,5/18/2020
873e4484-05fc-4532-b860-9c1a2366c5aa,8/28/2019,567344768-X,Commercial Real Estate,1/21/2020
bf41f460-a2e2-4fc6-9895-2daf1e11f294,8/2/2018,692076929-8,5 Why,9/21/2019
22f553b5-82b9-4d46-959e-db1301b858d4,5/27/2019,814703910-7,Legal Writing,10/10/2018
4b80235a-9d82-4266-a146-0d0bf90911d8,3/8/2019,074336044-3,Job Evaluation,4/30/2019
f9150850-b4d5-49d9-afd7-de0ecc78d032,12/12/2018,255094328-7,Bank-owned Properties,2/18/2020
ebefc693-c852-45f0-9ac1-e6bdf1fea832,5/5/2019,727189426-8,Floor Plans,10/1/2019
8020064f-1b0e-45aa-a6f0-8490a48fef82,10/2/2019,705858899-6,Oncology,8/5/2020
407fe14d-a588-49b9-a12b-20b6d1e8a36e,9/20/2020,204400826-2,NLB,1/5/2020
e16d25eb-3500-41ea-9ada-189cb93fea20,2/28/2018,950138941-3,PL/SQL,1/20/2018
50d26862-cff4-4878-9e60-132c69a7d0df,11/12/2019,038876478-3,Grants,7/7/2020
18bf0369-0e43-48b9-a6be-b48d84fb6275,12/19/2017,561041948-4,Osteopathy,1/21/2020
77ec03c0-42d8-4e3d-b952-7584458ca276,10/19/2019,686831396-9,RRDTool,1/30/2018
66d853a5-897a-4462-ab3f-1155e794a580,1/17/2020,551275106-9,Ultrafast Spectroscopy,7/3/2020
e54862a6-8bf3-443b-b61a-98469938f596,6/16/2020,527365973-6,CSPro,10/19/2020
83d5a899-a12f-49c9-8e9e-e5961ea3b24d,7/28/2019,476288862-1,Emotional Intelligence,8/5/2020
cf5bfec1-0975-462d-9255-e1fdb73b381b,6/25/2019,981208633-1,Federal Government,10/16/2018
58a92b91-2669-466f-bd2a-5801cf06d25a,12/2/2018,824058374-1,RSLogix,8/22/2019
9704dfe1-3177-477e-9007-0def736c7c41,11/23/2019,412058631-6,Glaucoma,4/30/2018
a394ca82-4a75-4bea-8af5-a1a138221ac3,11/29/2018,658920878-6,UFC,8/30/2020
862d5a50-9d2b-4268-a399-1a2fde820cb1,11/27/2017,268383632-5,Kosher,6/22/2018
7d267779-e700-4f06-a861-1151aaf95d7f,12/29/2019,766676590-8,Windows,8/6/2019
e509433a-c503-4a99-b59e-09e2a087df16,7/6/2020,773541290-8,FTO analysis,8/18/2020
282f23cf-ef28-4172-a695-d65a19ef140a,9/6/2020,996080821-1,Aluminum,7/6/2019
ab2370ac-8d0b-4187-a5ab-d0ea81386c04,8/27/2019,874862568-X,Vocals,11/17/2019
b2c6752b-a62a-4df9-a853-d692055f052e,3/1/2020,095365036-7,XML-RPC,2/17/2018
46b98acb-3d6f-4e51-97a3-ebc3e3120bcf,9/23/2019,933345536-1,Digital Signage,11/29/2017
50e69a09-144a-4b7d-9f07-b871fc5e3dce,6/16/2019,047361138-4,TMDLs,4/25/2018
dc39acb9-16b9-430b-8c68-055a2a45ef03,3/24/2019,191147065-5,CPAP,1/9/2019
27f224fb-02af-4738-894b-455f9cea5a4f,11/12/2019,284617326-5,BMC Remedy User,11/6/2020
c1210ccd-2053-40c3-96bd-ab7fe289ebdd,2/23/2018,209172153-0,JFace,1/30/2020
07753fed-6bd2-4353-b8fe-00bfb3138d69,11/2/2018,203275397-9,VSA,4/21/2019
77b0e4e6-f402-440c-a4ba-6fe84ea5e676,7/23/2018,842975535-7,SFI,6/5/2020
5e0335ec-de31-4739-8bc0-5426667250db,8/10/2020,597083457-2,Visual Effects,1/4/2020
525e3249-a3a5-4648-aa2d-712b86b44565,9/27/2020,715021804-0,Telecommunications,9/7/2019
5cd3f2db-82d7-4925-9c53-4a6dd2fbd6d7,8/9/2019,700134739-6,Oozie,2/1/2019
c7715bc0-ebd6-4334-99c2-c1b0498c9f2c,2/6/2018,493275911-8,Home Equity Lines of Credit,1/4/2019
31f837c7-f91d-48d4-83e1-66236a67bfab,6/9/2018,424890344-X,Thermal Oxidizers,3/16/2020
8fe13f93-ad3c-431d-9f52-5bab9cb11ca9,1/7/2020,800146870-4,Tk,2/5/2019
9e0ee297-c461-4fc5-b1b6-ff0b24e87b23,11/3/2018,397440297-7,Typo3,2/14/2019
750d4717-c410-4c7d-875b-f66790d05f04,5/9/2018,326059055-2,CD packaging,5/6/2020
d2ec7dbe-2e83-4577-a240-d47ffec7754a,1/22/2020,181844454-2,XMind,4/16/2019
d318c5b8-b131-4bfe-ab85-d1e795217afd,1/13/2019,849673853-1,Global Sourcing,9/13/2020
33149bc7-9147-4c34-b7ef-b534537f5103,6/28/2018,879026334-0,Childcare,6/5/2020
65ead3f7-cec4-444e-801a-04c433561ecc,7/7/2018,802368988-6,OLAP,8/22/2018
6122c7fa-f5d9-465c-a4bd-c9e402d58126,1/11/2018,951806724-4,Adolescents,9/8/2020
aa382b55-9867-4836-abe9-27ab9e1ca761,6/28/2020,405419945-3,Ethnography,10/7/2019
ef864d34-dbbb-4fb5-ae7a-3a4a35e81ac7,8/13/2020,837422953-5,CWTS,12/25/2019
5fbb89e7-f750-4c5e-bfba-19f293ad7edd,5/6/2018,129838434-6,EFQM Excellence Model,6/9/2020
34af8bbe-af30-43a9-bc25-be1ee36fd058,11/16/2019,702939426-7,vCloud,8/29/2018
e3a17d31-e07b-44b2-92a1-8ad9c466f922,6/15/2018,515646293-6,MBTI,12/3/2018
60632f30-8a0b-44b1-84eb-2c53a4c02adb,2/17/2019,031636661-7,JDOM,7/20/2020
181027c4-8b85-483e-963b-36e1a6e5637c,4/1/2020,979306679-2,ZBrush,11/28/2018
2c73ff07-83bb-4adf-a196-24d67fee0e0e,8/10/2018,927213395-5,Xinet,1/27/2020
89defb45-20cf-48ab-b84d-17b89bc48957,2/4/2019,174607312-8,IxLoad,8/9/2019
7815cb98-a888-485d-83e0-d270fc208cfd,10/1/2020,891884285-6,Solar PV,6/29/2018
17f94b2e-0a7f-45fa-a95e-562e6c4ee2aa,8/15/2019,838885029-6,Classroom Management,4/12/2019
a4f56b1c-6faa-496b-ac01-dae8ecfe0816,9/10/2019,994020515-5,LAN-WAN,4/27/2020
0736eaeb-d8e7-4d7e-b367-9992c124f292,9/13/2019,310449407-X,Dubbing,4/10/2019
e8364bf2-8d63-4166-9875-ab8591cf0de8,12/4/2018,067640316-6,ESL,10/12/2019
2a74a945-ffca-428d-98c0-1a4adfa40e51,10/25/2019,717096926-2,Medical Nutrition Therapy,3/3/2020
aa946a92-5927-4fe7-a1d1-620380c05634,6/4/2020,659981490-5,TMF,1/5/2018
9d5aaf24-679e-4f6c-9a2c-37e00839edfa,5/12/2020,423143113-2,Brand Development,8/11/2020
a782913d-6c6a-4c2f-8db1-087ddf3eff1c,6/25/2020,788406789-7,Credit Analysis,6/20/2020
c7f25191-f4b3-4264-9156-5792aaae0443,1/4/2019,286770036-1,NHS Commissioning,8/28/2020
d5b2b3aa-d3be-401f-950c-0ddf870133df,4/20/2020,787282653-4,Rx,7/5/2020
c08a63ba-f91a-43fa-a330-f3d7658fbb82,4/28/2018,184233720-3,HL7,7/10/2018
d4f1b8f6-d5a7-4cdd-8bb1-5f68ae172f0f,4/15/2019,831667551-X,PDMS,5/12/2020
d308bb33-d957-41dd-8a8a-9229e4fabaea,11/12/2019,119290061-8,Equity Capital Markets,11/24/2019
2c9961c0-701e-4049-975c-a54b3ba506cd,8/30/2018,381370181-6,MCSA,2/26/2018
